,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_mbbsneet.in,URL_mbbsneet.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,private architecture colleges in delhi ncr,1,https://collegedunia.com/architecture/delhi-ncr-colleges,5,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-delhi-ncr,6,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-delhi,7,https://www.collegedekho.com/barch-colleges-in-delhi_city/,,,,,,,,,,,,,,,,,17643,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
1,private architecture colleges in delhi ncr,2,https://collegedunia.com/architecture/delhi-ncr-colleges,5,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-delhi-ncr,6,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-delhi,7,https://www.collegedekho.com/barch-colleges-in-delhi_city/,,,,,,,,,,,,,,,,,17643,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
2,private architecture colleges in delhi ncr,3,https://collegedunia.com/barch/delhi-ncr-colleges,5,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-delhi-ncr,6,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-delhi,7,https://www.collegedekho.com/barch-colleges-in-delhi_city/,,,,,,,,,,,,,,,,,17643,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
3,private commerce colleges in delhi ncr,1,https://collegedunia.com/commerce/delhi-ncr/private-colleges,2,https://www.shiksha.com/accounting-commerce/colleges/b-com-colleges-delhi-ncr,4,https://finance.careers360.com/colleges/list-of-private-commerce-colleges-in-new-delhi,6,https://www.collegedekho.com/commerce-banking/commerce-colleges-in-delhi_city/,,,,,,,,,,,,,,,,,17644,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
4,private dental colleges in delhi ncr,1,https://collegedunia.com/dental/delhi-ncr-colleges,4,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-delhi-ncr,8,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-delhi,14,https://www.collegedekho.com/bachelor_of_dental_surgery_bds-private-colleges-in-delhi/,,,,,,,,,69,https://www.fresherslive.com/education/delhi-ncr-mbbs-bds-admission-108856,,,,,,,17645,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
5,private dental colleges in delhi ncr,1,https://collegedunia.com/dental/delhi-ncr-colleges,4,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-delhi-ncr,8,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-delhi,15,https://www.collegedekho.com/bachelor_of_dental_surgery_bds-private-colleges-in-delhi/,,,,,,,,,69,https://www.fresherslive.com/education/delhi-ncr-mbbs-bds-admission-108856,,,,,,,17645,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
6,private dental colleges in delhi ncr,1,https://collegedunia.com/dental/delhi-ncr-colleges,4,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-delhi-ncr,8,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-delhi,16,https://www.collegedekho.com/mds-colleges-in-delhi_city/,,,,,,,,,69,https://www.fresherslive.com/education/delhi-ncr-mbbs-bds-admission-108856,,,,,,,17645,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
7,private dental colleges in delhi ncr,1,https://collegedunia.com/dental/delhi-ncr-colleges,5,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-delhi-ncr,8,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-delhi,14,https://www.collegedekho.com/bachelor_of_dental_surgery_bds-private-colleges-in-delhi/,,,,,,,,,69,https://www.fresherslive.com/education/delhi-ncr-mbbs-bds-admission-108856,,,,,,,17645,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
8,private dental colleges in delhi ncr,1,https://collegedunia.com/dental/delhi-ncr-colleges,5,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-delhi-ncr,8,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-delhi,15,https://www.collegedekho.com/bachelor_of_dental_surgery_bds-private-colleges-in-delhi/,,,,,,,,,69,https://www.fresherslive.com/education/delhi-ncr-mbbs-bds-admission-108856,,,,,,,17645,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
9,private dental colleges in delhi ncr,1,https://collegedunia.com/dental/delhi-ncr-colleges,5,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-delhi-ncr,8,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-delhi,16,https://www.collegedekho.com/mds-colleges-in-delhi_city/,,,,,,,,,69,https://www.fresherslive.com/education/delhi-ncr-mbbs-bds-admission-108856,,,,,,,17645,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
